WinCC OA Recipe	CeliTunel	2016.10.28 15:59:29.219				Name:	RadoviLevaCev-DesnaTraka
Description:						Description:	
No.	Datapoint element	Description	Type	Unit	Min.	Max.	Set point
40	SysSarani:VMS1-1-D8.command.izbor_znaka	VMS1-1-D8.command.izbor_znaka	dyn_int		0	0	68
41	SysSarani:VMS1-2-D8.command.izbor_znaka	VMS1-2-D8.command.izbor_znaka	dyn_int		0	0	31
42	SysSarani:VMS2-D8.command.izbor_znaka	VMS2-D8.command.izbor_znaka	dyn_int		0	0	70
43	SysSarani:VMS3-D8.command.izbor_znaka	VMS3-D8.command.izbor_znaka	dyn_int		0	0	70
44	SysSarani:VMS4-1-D8.command.izbor_znaka	VMS4-1-D8.command.izbor_znaka	dyn_int		0	0	68
45	SysSarani:VMS4-2-D8.command.izbor_znaka	VMS4-2-D8.command.izbor_znaka	dyn_int		0	0	31
46	SysSarani:VMS5-1-D8.command.izbor_znaka	VMS5-1-D8.command.izbor_znaka	dyn_int		0	0	74
47	SysSarani:VMS5-2-D8.command.izbor_znaka	VMS5-2-D8.command.izbor_znaka	dyn_int		0	0	74
48	SysSarani:VMS6-D8.command.izbor_znaka	VMS6-D8.command.izbor_znaka	dyn_int		0	0	69
49	SysSarani:VMS7-D8.command.izbor_znaka	VMS7-D8.command.izbor_znaka	dyn_int		0	0	69
50	SysSarani:VMS1-TKD3.command.izbor_znaka	VMS1-TKD3.command.izbor_znaka	dyn_int		0	0	70
51	SysSarani:VMS2-TKD3.command.izbor_znaka	VMS2-TKD3.command.izbor_znaka	dyn_int		0	0	70
52	SysSarani:VMS3-TKD3.command.izbor_znaka	VMS3-TKD3.command.izbor_znaka	dyn_int		0	0	69
53	SysSarani:VMS4-TKD3.command.izbor_znaka	VMS4-TKD3.command.izbor_znaka	dyn_int		0	0	69
54	SysSarani:VMS5-TKD3.command.izbor_znaka	VMS5-TKD3.command.izbor_znaka	dyn_int		0	0	42
55	SysSarani:VMS6-TKD3.command.izbor_znaka	VMS6-TKD3.command.izbor_znaka	dyn_int		0	0	42
56	SysSarani:VMS4-OAL.command.izbor_znaka	VMS4-OAL.command.izbor_znaka	dyn_int		0	0	42
57	SysSarani:VMS5-OAL.command.izbor_znaka	VMS5-OAL.command.izbor_znaka	dyn_int		0	0	42
58	SysSarani:S1-TKD1.command.sdv.crveno	S1-TKD1.command.sdv.crveno	bool		0	0	0
59	SysSarani:S1-TKD1.command.sdv.zuto.on	S1-TKD1.command.sdv.zuto.on	bool		0	0	0
60	SysSarani:S1-TKD1.command.sdv.zeleno	S1-TKD1.command.sdv.zeleno	bool		0	0	1
61	SysSarani:S2-TKD1.command.sdv.crveno	S2-TKD1.command.sdv.crveno	bool		0	0	0
62	SysSarani:S2-TKD1.command.sdv.zuto.on	S2-TKD1.command.sdv.zuto.on	bool		0	0	0
63	SysSarani:S2-TKD1.command.sdv.zeleno	S2-TKD1.command.sdv.zeleno	bool		0	0	1
64	SysSarani:S3-TKD1.command.sdv.crveno	S3-TKD1.command.sdv.crveno	bool		0	0	0
65	SysSarani:S3-TKD1.command.sdv.zuto.on	S3-TKD1.command.sdv.zuto.on	bool		0	0	0
66	SysSarani:S3-TKD1.command.sdv.zeleno	S3-TKD1.command.sdv.zeleno	bool		0	0	1
67	SysSarani:S4-TKD1.command.sdv.crveno	S4-TKD1.command.sdv.crveno	bool		0	0	0
68	SysSarani:S4-TKD1.command.sdv.zuto.on	S4-TKD1.command.sdv.zuto.on	bool		0	0	0
69	SysSarani:S4-TKD1.command.sdv.zeleno	S4-TKD1.command.sdv.zeleno	bool		0	0	1
70	SysSarani:S1-D4.command.sdv.crveno	S1-D4.command.sdv.crveno	bool		0	0	0
71	SysSarani:S1-D4.command.sdv.zuto.on	S1-D4.command.sdv.zuto.on	bool		0	0	0
72	SysSarani:S1-D4.command.sdv.zeleno	S1-D4.command.sdv.zeleno	bool		0	0	1
73	SysSarani:S2-D4.command.sdv.crveno	S2-D4.command.sdv.crveno	bool		0	0	0
74	SysSarani:S2-D4.command.sdv.zuto.on	S2-D4.command.sdv.zuto.on	bool		0	0	0
75	SysSarani:S2-D4.command.sdv.zeleno	S2-D4.command.sdv.zeleno	bool		0	0	1
76	SysSarani:S1-TKD3.command.sdv.crveno	S1-TKD3.command.sdv.crveno	bool		0	0	1
77	SysSarani:S1-TKD3.command.sdv.zuto.on	S1-TKD3.command.sdv.zuto.on	bool		0	0	0
78	SysSarani:S1-TKD3.command.sdv.zeleno	S1-TKD3.command.sdv.zeleno	bool		0	0	0
79	SysSarani:S2-TKD3.command.sdv.crveno	S2-TKD3.command.sdv.crveno	bool		0	0	1
80	SysSarani:S2-TKD3.command.sdv.zuto.on	S2-TKD3.command.sdv.zuto.on	bool		0	0	0
81	SysSarani:S2-TKD3.command.sdv.zeleno	S2-TKD3.command.sdv.zeleno	bool		0	0	0
82	SysSarani:VMS1-OAL.command.izbor_znaka	VMS1-OAL.command.izbor_znaka	dyn_int		0	0	17
83	SysSarani:VMS2-OAL.command.izbor_znaka	VMS2-OAL.command.izbor_znaka	dyn_int		0	0	27|10
84	SysSarani:VMS3-OAL.command.izbor_znaka	VMS3-OAL.command.izbor_znaka	dyn_int		0	0	27|10
85	SysSarani:VMS1-PS2.command.izbor_znaka	VMS1-PS2.command.izbor_znaka	dyn_int		0	0	27|10
86	SysSarani:VMS2-PS2.command.izbor_znaka	VMS2-PS2.command.izbor_znaka	dyn_int		0	0	27|10
87	SysSarani:VMS1-TKL2.command.izbor_znaka	VMS1-TKL2.command.izbor_znaka	dyn_int		0	0	69
88	SysSarani:VMS2-TKL2.command.izbor_znaka	VMS2-TKL2.command.izbor_znaka	dyn_int		0	0	69
89	SysSarani:VMS3-TKL2.command.izbor_znaka	VMS3-TKL2.command.izbor_znaka	dyn_int		0	0	70
90	SysSarani:VMS4-TKL2.command.izbor_znaka	VMS4-TKL2.command.izbor_znaka	dyn_int		0	0	69
91	SysSarani:VMS1-1-L6.command.izbor_znaka	VMS1-1-L6.command.izbor_znaka	dyn_int		0	0	22
92	SysSarani:VMS1-2-L6.command.izbor_znaka	VMS1-2-L6.command.izbor_znaka	dyn_int		0	0	27
93	SysSarani:VMS2-L6.command.izbor_znaka	VMS2-L6.command.izbor_znaka	dyn_int		0	0	70
94	SysSarani:VMS3-L6.command.izbor_znaka	VMS3-L6.command.izbor_znaka	dyn_int		0	0	69
95	SysSarani:VMS4-1-L6.command.izbor_znaka	VMS4-1-L6.command.izbor_znaka	dyn_int		0	0	22
96	SysSarani:VMS4-2-L6.command.izbor_znaka	VMS4-2-L6.command.izbor_znaka	dyn_int		0	0	27
