# ascii dump of database

# Aliases/Comments
AliasId	AliasName	CommentName
_mp_DRIVE2.para.speed	""	lt:2 LANG:10024 "Speed@%3.0f@1/min" LANG:10027 "Обороты@%3.0f@1/мин" 
_mp_DRIVE2.value.powerCon	""	lt:2 LANG:10024 "Power consumption@%3.1f@A" LANG:10027 "Потребляемый ток@%3.1f@A" 
_mp_DRIVE2.value.speed	""	lt:2 LANG:10024 "Speed@%3.0f@1/min" LANG:10027 "Обороты@%3.0f@1/мин" 
_mp_SETPOINT.cmd	""	lt:2 LANG:10024 "@%4.2f@" LANG:10027 "@%4.2f@" 
_mp_SETPOINT.value	""	lt:2 LANG:10024 "@%4.2f@" LANG:10027 "@%4.2f@" 
_mp_SLIDE_VALVE1.value.position	""	lt:2 LANG:10024 "Position actual Value@%3.0f@%" LANG:10027 "Поз. акт. знач.@%3.0f@%" 
_mp_SLIDE_VALVE2.para.position	""	lt:2 LANG:10024 "Position actual Value@%3.0f@%" LANG:10027 "Поз. акт. знач.@%3.0f@%" 
_mp_SLIDE_VALVE2.value.position	""	lt:2 LANG:10024 "Position actual Value@%3.0f@%" LANG:10027 "Поз. акт. знач.@%3.0f@%" 
_mp_PUMP2.para.speed	""	lt:2 LANG:10024 "Speed@%3.0f@1/min" LANG:10027 "Обороты@%3.0f@1/мин" 
_mp_PUMP2.value.powerCon	""	lt:2 LANG:10024 "Power consumption@%3.1f@A" LANG:10027 "Потребляемый ток@%3.1f@A" 
_mp_PUMP2.value.speed	""	lt:2 LANG:10024 "Speed@%3.0f@1/min" LANG:10027 "Обороты@%3.0f@1/мин" 
_mp_PUMP1.value.speed	""	lt:2 LANG:10024 "Speed@%3.0f@1/min" LANG:10027 "Обороты@%3.0f@1/мин" 
_mp_PUMP1.value.powerCon	""	lt:2 LANG:10024 "Power consumption@%3.1f@A" LANG:10027 "Потребляемый ток@%3.1f@A" 
_Ui_110.UserName	""	lt:2 LANG:10024 "Ui110 user@@" LANG:10027 "Ui110 польз.@@" 
main_1.Warning	""	lt:2 LANG:10024 "StartPanel - Warning@@" LANG:10027 "StartPanel - Warning@@" 
main_1.Alert	""	lt:2 LANG:10024 "StartPanel - Alert@@" LANG:10027 "StartPanel - Alert@@" 
main_1.Danger	""	lt:2 LANG:10024 "StartPanel - Danger@@" LANG:10027 "StartPanel - Danger@@" 
_AEScreen_0005.Name	""	lt:2 LANG:10024 "NONE@@" LANG:10027 "NONE@@" 
_AESProperties_0005.Name	""	lt:2 LANG:10024 "NONE@@" LANG:10027 "NONE@@" 
OA-D.A1.state.bit.b0	""	lt:2 LANG:10024 "Status-grijac" LANG:10027 "Status-grijac" 
OA-D.A1.state.bit.b1	""	lt:2 LANG:10024 "Status-servisna monofazna prikljucnica" LANG:10027 "Status-servisna monofazna prikljucnica" 
OA-D.A1.state.bit.b2	""	lt:2 LANG:10024 "Status-komandni napon 230VAC OA-SOS.D3" LANG:10027 "Status-komandni napon 230VAC OA-SOS.D3" 
